claim_id,component,proposed_claim,exact_value,display_value,evidence_scope,mandatory_qualifier,prohibited_overclaim,source_path,source_sha256
C101,phase1b,"Cumulative-threshold XGBoost achieved the highest full-OOF macro-F1, 0.6255.",0.6254589405107375,0.6255,Full exactly-once OOF INX sample under the frozen P3 protocol.,Highest applies only to macro-F1 among the nine evaluated systems.,Do not generalize this ranking to every metric or future population.,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf
C102,phase1b,"Cumulative-threshold XGBoost achieved the highest full-OOF balanced accuracy, 0.6745.",0.6745231336221923,0.6745,Full exactly-once OOF INX sample under the frozen P3 protocol.,Highest applies only to balanced accuracy among the nine evaluated systems.,Do not claim universal or statistically significant superiority.,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf
C103,phase1b,"Random Forest had the highest full-OOF quadratic weighted kappa, 0.6317.",0.6316782057286063,0.6317,Full exactly-once OOF INX sample under the frozen P3 protocol.,"The ordering criterion is QWK, not macro-F1 or probability quality.",Do not call Random Forest the universally best model.,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf
C104,phase1b,"Random Forest had the lowest full-OOF ordinal MAE, 0.1583.",0.15833333333333333,0.1583,Full exactly-once OOF INX sample under the frozen P3 protocol.,"Lower is better, and this result does not determine other metric rankings.",Do not equate low ordinal MAE with complete error safety.,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf
C105,phase1b,"LightGBM had the lowest normalized ranked probability score, 0.0804.",0.08040618857328805,0.0804,Raw full-OOF probabilities from nine systems under the P3 protocol.,Lower is better and the claim applies to normalized RPS only.,Do not infer overall model superiority from one probability metric.,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf
C106,phase1b,"Nominal XGBoost had the lowest raw log loss, 0.5515.",0.5514626110693018,0.5515,Raw full-OOF probabilities from nine systems under the P3 protocol.,Lower is better and the comparison precedes the predeclared sigmoid evaluation.,Do not present raw log-loss leadership as universal superiority.,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf
C201,phase1c,"Across five repeated nested-CV designs, XGBoost mean macro-F1 was 0.6288.",0.6287774897827731,0.6288,Mean over five prespecified 5×5 nested-CV repetitions.,The mean is descriptive across five repetitions and is not a confidence estimate.,Do not claim stable universal leadership or population-level certainty.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/variability_summary.csv,f50bbd1bb89e479ccdeb3e15538ea5f4a5c2eeabad6ef3d6d40d5439384c2acf
C202,phase1c,"Across five repeated nested-CV designs, LightGBM mean macro-F1 was 0.6249.",0.6249382473038569,0.6249,Mean over five prespecified 5×5 nested-CV repetitions.,LightGBM and XGBoost split repetition-level macro-F1 wins.,Do not infer a significant difference from the two descriptive means.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/variability_summary.csv,f50bbd1bb89e479ccdeb3e15538ea5f4a5c2eeabad6ef3d6d40d5439384c2acf
C203,phase1c,Random Forest ranked first for QWK in 5 of 5 repetitions.,5,5,Winner count over five prespecified nested-CV repetitions.,The stable winner statement applies only to QWK under this design.,Do not infer universal superiority or prospective stability.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/model_rank_summary.csv,dfd3c314b88ee8bb9113d11189ad8c1ae1e9538f9fa385f526dd261ae2eedfe1
C204,phase1c,Cumulative-threshold XGBoost ranked first for balanced accuracy in 4 of 5 repetitions.,4,4,Winner count over five prespecified nested-CV repetitions.,One repetition was won by another model and no inferential test is attached.,Do not describe the ordering as invariant or statistically proven.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/model_rank_summary.csv,dfd3c314b88ee8bb9113d11189ad8c1ae1e9538f9fa385f526dd261ae2eedfe1
C205,phase1c,Mean pairwise macro-F1 rank Spearman correlation across repetition pairs was 0.926.,0.9257142857142858,0.926,Ten pairwise rank comparisons across five repetitions and six tuned models.,Correlations are descriptive and repetition pairs are not independent samples.,Do not label the ordering perfectly stable or confidence-bounded.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/ordering_stability.csv,5b36d6eb639441408a5997a60aaddb5cfc3a9b8986b4e3a1be6b6eaf50c4ca22
C301,phase1d,"For P2, independent retuning changed macro-F1 by +0.0185 relative to the fixed schedule.",0.018519931362211306,0.0185,Full-OOF retuned-minus-fixed point difference for the P2 policy.,This point difference has no confidence interval and combines policy-specific selection with access.,"Do not call the difference causal, significant, or deployment-valid.",reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4
C302,phase1d,"For P5, independent retuning changed QWK by -0.0344 despite improving some other metrics.",-0.03439211893198002,-0.0344,Full-OOF retuned-minus-fixed point difference for the P5 policy.,P5 removes declared strong proxies but cannot prove absence of residual proxies.,"Do not claim monotonic benefit, fairness proof, or causal proxy removal.",reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4
C303,phase1d,The retuned P0 information-rich diagnostic reached macro-F1 0.8943.,0.8942738716737378,0.8943,Retuned P0 full-OOF point estimate with outcome-proximal/timing-risk fields retained.,P0 is a diagnostic upper bound and is explicitly never deployable.,Do not present P0 as prospective performance or an admissible HR policy.,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4
C401,phase2a,The mean top-5 Jaccard agreement across model-seed pairs was 1.0000.,1.0,1.0000,Fifteen pairwise comparisons across fixed model seeds.,Pairs share data and protocol components and are not independent observations.,"Do not call SHAP perfectly robust, causal, or confidence-bounded.",reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/stability_summary.csv,4329e361ae3d006474efa724b4ef4b82d361ce4a3b3fb667f0b7169e0fbc0496
C402,phase2a,Mean all-feature Spearman agreement across outer-training resample pairs was 0.9847.,0.9846616541353382,0.9847,Ten pairwise comparisons among five stratified 80% outer-training resamples.,The same Spearman summary is repeated across top-k rows and is descriptive.,Do not infer sampling independence or explanation validity from rank agreement alone.,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/stability_summary.csv,4329e361ae3d006474efa724b4ef4b82d361ce4a3b3fb667f0b7169e0fbc0496
C403,phase2a,Deleting the top-ranked feature produced a mean probability-drop contrast of 0.2676 versus random deletion.,0.2675683999606986,0.2676,SHAP-guided minus 20 random-repetition mean deletion contrast.,The contrast is descriptive and median/mode masking can be out of distribution.,Do not interpret the perturbation as a causal or actionable employee effect.,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/faithfulness_contrasts.csv,c8fa92829a3c519eeee7718e42c8ab13b5380d780ded9ab3019ef3175d5c06a3
C501,phase2b,Cross-fitted sigmoid calibration reduced log loss to 0.4556.,0.4556457723677246,0.4556,"Predeclared outer-training-only sigmoid probabilities on 1,200 exactly-once OOF cases.",The method was predeclared and outer-test outcomes were evaluation-only.,Do not claim prospective calibration or objective outcome probabilities.,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/method_comparison.csv,bac8344ec08129d92a38ffe5c968da576b57fe8bac48aa0f7b50e052e4f3bbb3
