policy_id,policy_name,selected_candidate_index,selected_candidate_parameters_json,selection_count,selection_opportunities,selection_frequency
P0,INFORMATION_RICH_DIAGNOSTIC,0,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",4,10,0.4
P0,INFORMATION_RICH_DIAGNOSTIC,4,"{""class_weight"":null,""max_depth"":5,""min_child_weight"":1.0}",3,10,0.3
P0,INFORMATION_RICH_DIAGNOSTIC,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",3,10,0.3
P1,LEAKAGE_CONTROLLED,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",6,10,0.6
P1,LEAKAGE_CONTROLLED,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",1,10,0.1
P1,LEAKAGE_CONTROLLED,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",2,10,0.2
P1,LEAKAGE_CONTROLLED,7,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":5.0}",1,10,0.1
P2,GOVERNANCE_CONTROLLED,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",4,10,0.4
P2,GOVERNANCE_CONTROLLED,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",1,10,0.1
P2,GOVERNANCE_CONTROLLED,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",3,10,0.3
P2,GOVERNANCE_CONTROLLED,7,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":5.0}",2,10,0.2
P3,PRIMARY_LEAKAGE_AWARE,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",5,10,0.5
P3,PRIMARY_LEAKAGE_AWARE,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",2,10,0.2
P3,PRIMARY_LEAKAGE_AWARE,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",3,10,0.3
P4,STRICT_PROSPECTIVE,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",6,10,0.6
P4,STRICT_PROSPECTIVE,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",1,10,0.1
P4,STRICT_PROSPECTIVE,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",1,10,0.1
P4,STRICT_PROSPECTIVE,7,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":5.0}",2,10,0.2
P5,STRICT_PROXY,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",1,10,0.1
P5,STRICT_PROXY,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",4,10,0.4
P5,STRICT_PROXY,7,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":5.0}",5,10,0.5
