issue_id,category,severity,affected_files,root_cause,planned_fix,status,test,output_artifacts,user_decision_required,notes
MRE-001,feature_policy,critical,"configs/feature_sets.yaml; configs/manuscript_final.yaml; canonical experiment modules","Primary exclusions were split between a named policy and separate sensitive-field flags.","Define one exact canonical primary exclusion set and validate every consumer.",resolved,test_canonical_feature_policy_consistency.py,"configs/manuscript_final.yaml; run manifest",no,"Canonical exact exclusions are enforced everywhere; legacy modules/artifacts remain historical."
MRE-002,shap,critical,"src/explainability/xgboost_grouped_shap.py; historical SHAP reports","A primary-named legacy SHAP tree contained Age.","Regenerate SHAP from the canonical policy and reject forbidden features.",resolved,"test_forbidden_features_absent_from_primary_artifacts.py; test_shap_outputs_match_primary_policy.py","latest/shap; historical artifact index",no,"Canonical SHAP is OOF/run-bound and forbidden-feature clean; Age-containing output is not admitted."
MRE-003,provenance,critical,"historical reports; src/governance/manuscript_contract.py","Historical dirty-tree outputs lacked recoverable config/source identity.","Create a complete run manifest and preserve historical limits.",resolved_for_canonical_run,test_artifact_run_manifest_consistency.py,"latest/run_manifest.json",no,"214 successful-run outputs registered; historical provenance remains explicitly unrecoverable."
MRE-004,integration,critical,"src/experiments; reports","Independent scripts wrote shared unversioned roots.","Add one versioned canonical entry point with compatible-cache checks.",resolved,test_artifact_run_manifest_consistency.py,"src/experiments/build_manuscript_evidence.py; reports/manuscript_final/latest",no,"Successful clean end-to-end command completed."
MRE-005,historical_artifacts,high,"reports/leakage_safe; reports/leakage; reports/*/final_candidates","Final-sounding historical outputs came from incompatible protocols.","Hash/index them and exclude them from the canonical manifest.",resolved,test_final_evidence_manifest_hashes.py,"latest/historical/historical_artifact_index.csv",no,"Original historical files are preserved and not reused."
MRE-006,leakage_ablation,critical,"historical leakage/model-selection reports","Policy comparisons lacked one common fold/model contract.","Rerun all declared policies with common folds, uncertainty, tests, and LSI.",resolved,test_manuscript_policy_ablation.py,"latest/policy",no,"Full-feature evidence is diagnostic upper bound only."
MRE-007,task_metrics,critical,"src/models/evaluate.py; external metric reports","Ordinal metrics were applied to binary tasks and severe-error 0 implied applicability.","Encode task schemas and N/A rules.",resolved,test_task_metric_applicability.py,"latest/external/external_metric_applicability.csv",no,"Binary ordinal metrics are N/A/omitted by code."
MRE-008,external_claims,high,"external configs/reports","External task roles implied direct equivalence or locked transport.","Centralize claims and regenerate separated task tables.",resolved,test_external_claim_boundaries.py,"latest/external",no,"HR is independent replication; restricted/binary tasks are separately bounded; transport false."
MRE-009,calibration,high,"historical calibration candidates","Nested results lacked one run/config package and coherent Figure 5.","Regenerate outer-10-fold raw/sigmoid/isotonic evidence.",resolved,test_manuscript_calibration.py,"latest/calibration; latest/figures/figure_5_*",no,"Ten bins, uncertainty, selected-method rationale, and probability warning generated."
MRE-010,shap_package,critical,"historical SHAP/reason-code scripts","Stability/local evidence used incompatible fold/full-fit contracts.","Generate OOF global/class/local/stability evidence and Figures 6-7.",resolved,test_shap_outputs_match_primary_policy.py,"latest/shap; latest/figures/figure_6_*; latest/figures/figure_7_*",no,"Representative rows and every artifact carry run/config identity."
MRE-011,counterfactual_protocol,critical,"src/experiments/final_counterfactual_actionability.py; historical actionability reports","Historical evaluation used full-data fitting/prototypes and four eligible cases.","Use OOF models/training-fold prototypes and all approved eligible cases with denominators/uncertainty.",resolved,"test_counterfactual_protocol_is_oof.py; test_counterfactual_denominators_reported.py","latest/counterfactual",no,"User accepted all eligible OOF cases after the 18-22 minute cost benchmark."
MRE-012,llm_evidence,critical,"historical final-80 case manifest; LLM runner","Only ten INX local reason codes existed and 30 cases were evidence-missing.","Build and preflight complete canonical INX/HR case evidence.",resolved,"test_llm_case_evidence_completeness.py; test_real_llm_preflight_blocks_incomplete_evidence.py; test_manuscript_case_evidence.py","latest/llm/complete_case_evidence.jsonl; latest/llm/preflight_report.json",no,"80 requested/selected/complete; zero incomplete; real API execution false."
MRE-013,llm_statistics,high,"historical real-LLM summary","Perfect compliance rates obscured missing evidence and finite-sample uncertainty.","Separate readiness from faithfulness and require Wilson intervals for any real run.",resolved_for_readiness_real_batch_not_authorized,test_llm_case_evidence_completeness.py,"latest/llm/preflight_report.*",conditional,"Canonical package makes no real-LLM rate claim; paid rerun requires approval."
MRE-014,chatbot_guardrails,high,"src/chatbot; historical chatbot reports","Suite was hard-coded, English-heavy, and keyword-aligned.","Version/expand categories and add Wilson intervals.",resolved,test_guardrail_suite_minimums_and_categories.py,"latest/chatbot",no,"Canonical suite contains 80 unsafe and 34 safe prompts; not comprehensive safety."
MRE-015,fairness_support,high,"historical fairness/external reports","Headline gaps lacked support, stability, and valid-bootstrap context.","Generate support-aware common-fold tables with CIs/counts/limitations.",resolved,test_fairness_support_and_ci_fields.py,"latest/fairness/manuscript_fairness_proxy_table.csv",no,"Descriptive audit evidence only; no fairness/causality claim."
MRE-016,dataset_provenance,critical,"data cards; external config","Required retrieval/licence/citation fields were absent.","Generate and validate complete machine-readable cards with manual-review markers.",resolved_automation_manual_authenticity_pending,test_dataset_card_required_fields.py,"latest/provenance/dataset_cards.json",conditional,"No source/licence authenticity judgement was made by code."
MRE-017,figures,high,"manuscript figure assets","Existing figures were differently scoped and not run-bound.","Generate Figures 1-7 reproducibly with source data/metadata.",resolved,test_manuscript_figures_generated.py,"latest/figures",no,"Seven PNG/SVG pairs validated; manuscript files unchanged."
MRE-018,environment,high,"environment.yml; requirements files","Scientific dependencies were undeclared and raw-workbook reader absent.","Declare dependencies and freeze actual run package/input snapshots.",resolved_environment_spec_workbook_manual,"compileall; run manifest validation","environment.yml; requirements.txt; latest/run_inputs",no,"Current xlrd absence remains a documented workbook-provenance manual item."
MRE-019,test_coverage,critical,"tests","Baseline tests lacked canonical acceptance boundaries.","Add all requested tests and run full suites.",resolved,"unittest; pytest; compileall; secret scan","tests; 06_test_log.md",no,"Final: 161 unittest; 188 pytest plus 4 subtests; compile and secret scan passed."
MRE-020,final_manifest,critical,"legacy LLM-centred final manifest","Manifest did not bind all scientific stages to one config/data/source identity.","Generate complete run and evidence manifests and verify hashes.",resolved,test_final_evidence_manifest_hashes.py,"latest/run_manifest.json; latest/final_evidence_manifest.json",no,"212/212 final-manifest files verified in versioned root and latest."
MRE-021,raw_workbook,medium,"data/raw/INX_Future_Inc_Employee_Performance_CDS_Project2_Data_V1.8.xls","xlrd was absent so workbook equivalence was not independently parsed.","Use hashed canonical CSV and document workbook review; declare xlrd for a clean environment.",manual_review_required,test_dataset_card_required_fields.py,"latest/provenance; requirements.txt",yes,"No scientific run depends on the workbook; author/source review remains."
MRE-022,readiness_dashboard,medium,"legacy gxair score/dashboard","Numeric component scores could invite a misleading composite interpretation.","Use a categorical component status matrix for Figure 4.",resolved,test_manuscript_figures_generated.py,"latest/figures/figure_4_*",no,"No radar or single composite score."
MRE-023,statistical_reliability,medium,"legacy statistical reliability report","Uncertainty methods were disconnected from the canonical run.","Use fold, bootstrap, Wilson, and task-appropriate uncertainty within stages.",resolved,"stage tests; manifest tests","latest/policy; latest/calibration; latest/counterfactual; latest/fairness; latest/chatbot",no,"No interpolation of missing estimates."
MRE-024,manuscript_snapshot,high,"manuscript/mdpi_information/main.md","Draft referenced non-canonical checked-in reports.","Produce replacement evidence package and claim matrix without editing manuscript.",resolved_evidence_author_terminology_pending,test_final_evidence_manifest_hashes.py,"09_final_completion_report.md; latest/canonical_claim_boundaries.md",conditional,"Leakage-safe/aware/reduced terminology remains an author decision."
MRE-025,guardrail_composition,critical,"src/chatbot/guardrails.py","Safe allow-list evaluation could precede prohibited mixed intent.","Evaluate prohibited intent first and add mixed-intent tests.",resolved,test_guardrail_suite_minimums_and_categories.py,"latest/chatbot",no,"Unsafe appended instructions override audit exceptions."
MRE-026,evidence_schema,critical,"src/llm/evidence_schema.py","Hard-coded forbidden list omitted canonical exclusions.","Derive recursive validation from the canonical primary policy.",resolved,"test_forbidden_features_absent_from_primary_artifacts.py; test_llm_case_evidence_completeness.py","latest/llm",no,"No LLM-local policy redefinition remains."
MRE-027,stale_reporting,high,"historical chatbot/statistical reports","Older/mislabelled deterministic reports coexisted with newer output.","Exclude/index stale files and regenerate mode-correct canonical reports.",resolved,test_guardrail_suite_minimums_and_categories.py,"latest/chatbot; latest/historical",no,"Deterministic output is never labelled real LLM."
MRE-028,fairness_scope,high,"configs/fairness.yaml; historical fairness scripts","Sensitive and operational audits were conflated and bootstrap settings drifted.","Type attributes, transform sparse groups, and honor 5000 bootstraps.",resolved,test_fairness_support_and_ci_fields.py,"latest/fairness",no,"Support/stability and limitations are explicit."
MRE-029,llm_stale_dependency,critical,"historical final-80 config and Age-containing SHAP","Paid run depended on incompatible legacy SHAP.","Consume only canonical run-local fold-consistent evidence.",resolved,"test_shap_outputs_match_primary_policy.py; test_real_llm_preflight_blocks_incomplete_evidence.py","latest/llm",no,"Historical paid output is preserved but excluded."
MRE-030,api_cost_safety,critical,"LLM client/explainer/chatbot; usage ledger","API-key presence silently enabled paid OpenAI calls.","Default offline and require explicit real provider plus require_real_llm.",resolved,"test_llm_runtime_config.py; test_guardrail_suite_minimums_and_categories.py","preserved incident ledger; latest/package_status.json",no,"24 pre-fix calls preserved; canonical run/tests made zero; billing dashboard authoritative."
MRE-031,shap_axis_order,critical,"src/experiments/manuscript_shap_evidence.py; first failed run","ColumnTransformer block order differed from interleaved raw feature order.","Validate identical feature sets and explicitly reorder the grouped SHAP axis.",resolved,test_shap_outputs_match_primary_policy.py,"failed run manifest; successful latest/shap",no,"First failed run preserved and not reused."
MRE-032,case_identity_schema,critical,"SHAP representative selector; LLM external schema; second failed run","Representative selection omitted run/config identity and external stage/consumer filenames diverged.","Propagate mandatory identity and resolve one explicit non-ambiguous filename alias.",resolved,"test_shap_outputs_match_primary_policy.py; test_manuscript_case_evidence.py","failed run manifest; latest/llm",no,"Second failed run preserved; real-data 80-case diagnostic and final preflight passed."
MRE-033,documentation_handoff,high,"README.md","The repository landing page foregrounded legacy artifacts and incorrectly implied that the canonical package contained a real paid 80-case OpenAI evaluation.","Replace the landing page with a canonical-run evidence map, exact claim boundaries, reproducibility entry point, verification status, and unresolved-item handoff.",resolved,"README local-link audit; git diff --check; manuscript diff check","README.md",no,"README now states zero canonical paid calls, 80/80 evidence readiness, offline deterministic audit scope, and points reviewers to run-local evidence."
