record_type,path,file_count,oldest_utc,newest_utc,modified_utc,size_bytes,sha256,snapshot_sha256,compatibility_status,notes
root_snapshot,reports/model_selection,5,2026-06-05T15:49:30Z,2026-06-05T16:10:05Z,,,,9942c9bec1caddbdadb904f9cc34d27d22e42bc6a50f5181b82cf7f6f2fb1c1b,historical_unbound,"No common canonical run/config hash."
root_snapshot,reports/xai/final_candidates,26,2026-06-05T16:09:29Z,2026-06-23T11:19:45Z,,,,20e35e0202ec0083e3e32cee34fe351f348377a034902a01d2c0d0d74a3676af,historical_unbound,"Mixed June 5 and June 23 outputs."
root_snapshot,reports/counterfactuals/final_candidates,4,2026-06-05T16:09:52Z,2026-06-05T16:09:52Z,,,,35217a64599e0909163199d550988279c4e2a498e6d8c7045d23eef082c6fb47,incompatible_protocol,"In-sample evaluation and four eligible cases."
root_snapshot,reports/calibration/final_candidates,15,2026-06-05T16:08:56Z,2026-06-05T16:08:58Z,,,,a0c5f7dbd2435957740c53f860d18231009edc0c392e29edcbb46e1c65b34619,historical_unbound,"Nested protocol but no common run/config hash."
root_snapshot,reports/llm_explanations,40,2026-06-22T11:12:35Z,2026-06-25T09:23:42Z,,,,d1d83b97f5305b75bc12fbe063d7c6a3ec412eb258f852922567f504e2d46b30,incomplete_case_evidence,"Final 80-case run includes 30 evidence-missing outcomes."
root_snapshot,reports/agent_audits,31,2026-06-22T11:12:35Z,2026-06-25T09:23:42Z,,,,59e4e13596a5f562edc09045c6c9fe693b8812ffee988aa2552ad90bd48ce0ce,incomplete_case_evidence,"Audits inherit incomplete LLM case evidence."
root_snapshot,reports/chatbot_eval,5,2026-06-23T11:27:58Z,2026-06-24T13:51:29Z,,,,e15290f539d432670e577312adba3564a46092eaa82ef3081e9cf6b5ca963952,limited_suite,"75 deterministic hard-coded prompts."
root_snapshot,reports/governance_reports,9,2026-06-22T11:12:37Z,2026-06-25T09:23:53Z,,,,4545aa32ef73dc5c3945f6652835c4be9f646f08b31bf4caf3f99d68b1bd4daa,historical_unbound,"Composes evidence from multiple runs."
root_snapshot,reports/external_validation,192,2026-06-24T07:15:58Z,2026-06-25T09:23:53Z,,,,761a10df373e72983b88122a04137930156c27939564cb1c25ead90f59e4d3e7,incompatible_metrics,"Binary task ordinal metrics and claim labels require regeneration."
root_snapshot,reports/manuscript_assets/final_evidence_manifest,4,2026-06-25T09:26:03Z,2026-06-25T09:26:03Z,,,,1ac1ef064183136f59c7c7207af565cf5273b688cf47476259876960a4a8ea97,historical_llm_centered,"Internal hashes valid; not a canonical scientific run manifest."
file,reports/model_selection/final_candidate_dashboard.csv,,,,2026-06-05T16:10:05Z,2477,3a29003443a75bf449fcf3bdcf0c1a8bde08e9d26aa7c873dcfb3976def88fab,,historical_unbound,"Combines independently generated stages."
file,reports/model_selection/final_recommendation.md,,,,2026-06-05T16:10:05Z,1780,b945aa2a30146eb8315105eb4cce4eaea5c44aede30b28b5687378ee5d6f31df,,historical_unbound,"Narrative must be regenerated from canonical tables."
file,reports/xai/final_candidates/shap_stability_metadata.json,,,,2026-06-05T16:09:29Z,433,cd117f0033587143dbd52871e127dd689b428477c9ddc8f5832416ee9e51659a,,historical_unbound,"Five folds; no config hash or Git identity."
file,reports/counterfactuals/final_candidates/metadata.json,,,,2026-06-05T16:09:52Z,464,162c2390187988ef360d3c800ddaf0524e1aaff3e5e5d976f03403f564dbae9a,,incompatible_protocol,"No OOF declaration; representative-only."
file,reports/calibration/final_candidates/metadata.json,,,,2026-06-05T16:08:58Z,503,71e0a03be88996faade0546711bf757556d75045e2f52ea205c33b4175bf044b,,historical_unbound,"Nested 10-fold metadata; no config/run hash."
file,reports/llm_explanations/llm_agent_eval_summary.csv,,,,2026-06-25T09:23:42Z,647,b7cfcbbf9560a097e146c06982d0c02a33b6622012cb06c3c192a82bfa375830,,incomplete_case_evidence,"Perfect text checks coexist with 30 evidence_missing cases."
file,reports/agent_audits/agent_audit_results.csv,,,,2026-06-25T09:23:42Z,232645,0881ff347c7814cced3aba0692c746319be37841f2e0facd47575cf96da180b5,,incomplete_case_evidence,"Historical deterministic audit output."
file,reports/chatbot_eval/guardrail_evaluation.csv,,,,2026-06-24T13:51:29Z,41696,e792a6d0b2422735e78900d41eee6a5e676470a915b32bb121ea04f0cbde8180,,limited_suite,"Perfect rates require bounded wording and Wilson intervals."
file,reports/governance_reports/gxair_component_dashboard.csv,,,,2026-06-25T09:23:53Z,2521,b1996927d72dd242ff389ac46413c8b7009f05c0b3bce8f104a098de9e675695,,historical_unbound,"Component scores draw from incompatible evidence histories."
file,reports/external_validation/external_validation_summary.md,,,,2026-06-25T09:23:53Z,9862,c61d574ccc45c23f9115b4aeb70bb767ae3ba8748c63c608b14bf3a24a9b1186,,incompatible_metrics,"Binary and ordinal task rows imply comparability."
file,reports/manuscript_assets/final_evidence_manifest/final_evidence_manifest.json,,,,2026-06-25T09:26:03Z,20750,82592154189af217112111d1aa1a3656e56dfd065b3b1d5046175d852d7f895a,,historical_llm_centered,"29/29 referenced hashes verified at baseline."
file,reports/leakage_safe/xgboost_no_salary_hike_no_attrition_no_department/shap/global_grouped_shap_importance.csv,,,,,,,,incompatible_forbidden_feature,"Contains Age under the current primary policy name; exact hash will remain historical and will not be reused."
file,reports/xai/final_candidates/fold_feature_rankings.csv,,,,2026-06-05T16:09:29Z,,5ff886aa924fb7d018ef011a1c08168ae9c29d1dd432affd650bc1bc7f75db23,,historical_unbound,"Primary rankings omit forbidden fields but lack a global/class package and run contract."
