run_id,timestamp,git_commit_hash,command,config_path,dataset,model,feature_policy,llm_provider,llm_model,seed,output_files
llm_agent_eval_2026-06-24T12:38:28+00:00,2026-06-24T12:38:33+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.agents.run_governance_audit --config configs/llm_agent_eval.yaml,configs/llm_agent_eval.yaml,multiple,deterministic_governance_agents,multiple,,,deterministic,"[""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.jsonl"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\multi_agent_governance_audit.md""]"
chatbot_guardrail_eval_2026-06-24T12:38:33+00:00,2026-06-24T12:39:15+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.chatbot.run_guardrail_eval --config configs/chatbot_guardrail_eval.yaml,configs/chatbot_guardrail_eval.yaml,not_applicable,deterministic_report_backed_chatbot,,,,42,"[""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md""]"
llm_agent_eval_2026-06-24T12:38:28+00:00,2026-06-24T12:39:15+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.llm.run_llm_agent_evaluation --config configs/llm_agent_eval.yaml,configs/llm_agent_eval.yaml,multiple,xgboost,multiple,offline,offline_stub_llm,42,"[""reports\\llm_explanations\\eval_case_manifest.csv"", ""reports\\llm_explanations\\governed_explanations.jsonl"", ""reports\\llm_explanations\\faithfulness_eval.csv"", ""reports\\llm_explanations\\faithfulness_eval_summary.md"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.jsonl"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\multi_agent_governance_audit.md"", ""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md"", ""reports\\llm_explanations\\llm_agent_eval_summary.csv"", ""reports\\llm_explanations\\llm_agent_eval_summary.md""]"
chatbot_guardrail_eval_2026-06-24T12:40:03+00:00,2026-06-24T12:40:39+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.chatbot.run_guardrail_eval --config configs/chatbot_guardrail_eval.yaml,configs/chatbot_guardrail_eval.yaml,not_applicable,deterministic_report_backed_chatbot,,,,42,"[""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md""]"
llm_agent_eval_2026-06-24T12:40:55+00:00,2026-06-24T12:40:59+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.agents.run_governance_audit --config configs/llm_agent_eval.yaml,configs/llm_agent_eval.yaml,multiple,deterministic_governance_agents,multiple,,,deterministic,"[""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.jsonl"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\multi_agent_governance_audit.md""]"
chatbot_guardrail_eval_2026-06-24T12:40:59+00:00,2026-06-24T12:41:36+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.chatbot.run_guardrail_eval --config configs/chatbot_guardrail_eval.yaml,configs/chatbot_guardrail_eval.yaml,not_applicable,deterministic_report_backed_chatbot,,,,42,"[""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md""]"
llm_agent_eval_2026-06-24T12:40:55+00:00,2026-06-24T12:41:36+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.llm.run_llm_agent_evaluation --config configs/llm_agent_eval.yaml,configs/llm_agent_eval.yaml,multiple,xgboost,multiple,offline,offline_stub_llm,42,"[""reports\\llm_explanations\\eval_case_manifest.csv"", ""reports\\llm_explanations\\governed_explanations.jsonl"", ""reports\\llm_explanations\\faithfulness_eval.csv"", ""reports\\llm_explanations\\faithfulness_eval_summary.md"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.jsonl"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\multi_agent_governance_audit.md"", ""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md"", ""reports\\llm_explanations\\llm_agent_eval_summary.csv"", ""reports\\llm_explanations\\llm_agent_eval_summary.md""]"
statistical_reliability_2026-06-24T12:41:47+00:00,2026-06-24T12:41:47+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.governance.statistical_reliability,,multiple,xgboost; llm_agent_eval; chatbot,,,,,"[""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\performance_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\fairness_disparity_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\llm_guardrail_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\uncertainty_summary.md""]"
gxair_component_dashboard_2026-06-24T12:41:47+00:00,2026-06-24T12:41:47+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.governance.gxair_score --config configs/governance_dashboard.yaml,configs/governance_dashboard.yaml,inx_primary,xgboost,no_salary_hike_no_attrition_no_department,,,,"[""reports\\governance_reports\\gxair_component_dashboard.csv"", ""reports\\governance_reports\\gxair_component_dashboard.md"", ""reports\\governance_reports\\final_governance_readiness_report.md""]"
llm_agent_eval_2026-06-24T12:44:56+00:00,2026-06-24T12:45:00+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.agents.run_governance_audit --config configs/llm_agent_eval.yaml,configs/llm_agent_eval.yaml,multiple,deterministic_governance_agents,multiple,,,deterministic,"[""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.jsonl"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\multi_agent_governance_audit.md""]"
chatbot_guardrail_eval_2026-06-24T12:45:00+00:00,2026-06-24T12:45:36+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.chatbot.run_guardrail_eval --config configs/chatbot_guardrail_eval.yaml,configs/chatbot_guardrail_eval.yaml,not_applicable,deterministic_report_backed_chatbot,,,,42,"[""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md""]"
llm_agent_eval_2026-06-24T12:44:56+00:00,2026-06-24T12:45:36+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.llm.run_llm_agent_evaluation --config configs/llm_agent_eval.yaml,configs/llm_agent_eval.yaml,multiple,xgboost,multiple,offline,offline_stub_llm,42,"[""reports\\llm_explanations\\eval_case_manifest.csv"", ""reports\\llm_explanations\\governed_explanations.jsonl"", ""reports\\llm_explanations\\faithfulness_eval.csv"", ""reports\\llm_explanations\\faithfulness_eval_summary.md"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.jsonl"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\agent_audit_results.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\agent_audits\\multi_agent_governance_audit.md"", ""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md"", ""reports\\llm_explanations\\llm_agent_eval_summary.csv"", ""reports\\llm_explanations\\llm_agent_eval_summary.md""]"
gxair_component_dashboard_2026-06-24T12:45:47+00:00,2026-06-24T12:45:47+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.governance.gxair_score --config configs/governance_dashboard.yaml,configs/governance_dashboard.yaml,inx_primary,xgboost,no_salary_hike_no_attrition_no_department,,,,"[""reports\\governance_reports\\gxair_component_dashboard.csv"", ""reports\\governance_reports\\gxair_component_dashboard.md"", ""reports\\governance_reports\\final_governance_readiness_report.md""]"
statistical_reliability_2026-06-24T12:45:47+00:00,2026-06-24T12:45:47+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.governance.statistical_reliability,,multiple,xgboost; llm_agent_eval; chatbot,,,,,"[""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\performance_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\fairness_disparity_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\llm_guardrail_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\uncertainty_summary.md""]"
agent_audit_2026-06-24T12:45:55+00:00,2026-06-24T12:45:55+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.agents.run_governance_audit --config configs/llm_agent_eval.yaml,configs/llm_agent_eval.yaml,multiple,deterministic_governance_agents,multiple,,,deterministic,"[""reports\\agent_audits\\agent_audit_results.jsonl"", ""reports\\agent_audits\\agent_audit_results.csv"", ""reports\\agent_audits\\multi_agent_governance_audit.md""]"
statistical_reliability_2026-06-24T12:51:11+00:00,2026-06-24T12:51:11+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.governance.statistical_reliability,,multiple,xgboost; llm_agent_eval; chatbot,,,,,"[""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\performance_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\fairness_disparity_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\llm_guardrail_ci.csv"", ""C:\\Users\\Yusuf\\Documents\\GitHub\\employee performance with XAI\\reports\\statistical_reliability\\uncertainty_summary.md""]"
llm_agent_eval_openai_pilot_40_2026-06-24T13:29:52+00:00,2026-06-24T13:36:10+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.agents.run_governance_audit --config configs/llm_agent_eval.yaml,configs/llm_agent_eval_openai_pilot_40.yaml,multiple,deterministic_governance_agents,multiple,,,deterministic,"[""reports\\agent_audits\\openai_pilot_40\\agent_audit_results.jsonl"", ""reports\\agent_audits\\openai_pilot_40\\agent_audit_results.csv"", ""reports\\agent_audits\\openai_pilot_40\\multi_agent_governance_audit.md""]"
chatbot_guardrail_eval_2026-06-24T13:36:10+00:00,2026-06-24T13:36:48+00:00,861f271c940ea814bfae8d29429a3010722834de,python -m src.chatbot.run_guardrail_eval --config configs/chatbot_guardrail_eval.yaml,configs/chatbot_guardrail_eval.yaml,not_applicable,deterministic_report_backed_chatbot,,,,42,"[""reports\\chatbot_eval\\unsafe_prompt_suite.csv"", ""reports\\chatbot_eval\\safe_prompt_suite.csv"", ""reports\\chatbot_eval\\guardrail_evaluation.csv"", ""reports\\chatbot_eval\\guardrail_evaluation_summary.md""]"
