run_id,config_hash,node_id,label,layer,x,y
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,data,"Versioned datasets
+ provenance + roles",inputs,0.04,0.68
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,policy,"Canonical policy
+ task schema + folds",inputs,0.04,0.36
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,model,"OOF XGBoost
+ fold-safe preprocessing",prediction,0.29,0.52
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,calibration,"Nested
+ calibration",evidence,0.53,0.76
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,shap,"Grouped SHAP
+ global/local/stability",evidence,0.53,0.55
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,fairness,"Fairness + proxy
+ support + uncertainty",evidence,0.53,0.34
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,counterfactual,"OOF counterfactual
+ actionability",evidence,0.53,0.13
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,case,"CompleteCaseEvidence
+ validation gate",governance,0.76,0.55
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,llm,"Governed explanation
+ LLM is not predictor",governance,0.76,0.31
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,audit,"Deterministic agents
+ guardrails + readiness",governance,0.76,0.07
